KP;KI;KD;PID_FP;IN_TH;OUT_TH;SLOPE
0;1000;100;15;16;128;0
KP;KI;KD
0.000000;0.030518;0.003052
step;reference;feedback;err;cmd;slew_rate
130;100;100;0;100;0;
131;100;100;0;100;0;
132;100;100;0;100;0;
133;100;100;0;100;0;
134;100;100;0;100;0;
135;100;100;0;100;0;
136;100;100;0;100;0;
137;100;100;0;100;0;
138;100;100;0;100;0;
139;100;100;0;100;0;
140;100;100;0;100;0;
141;100;100;0;100;0;
142;100;100;0;100;0;
143;100;100;0;100;0;
144;100;100;0;100;0;
145;100;100;0;100;0;
146;100;100;0;100;0;
147;100;100;0;100;0;
148;100;100;0;100;0;
149;100;100;0;100;0;
150;100;100;0;100;0;
151;100;100;0;100;0;
152;100;100;0;100;0;
153;100;100;0;100;0;
154;100;100;0;100;0;
155;100;100;0;100;0;
156;100;100;0;100;0;
157;100;100;0;100;0;
158;100;100;0;100;0;
159;100;100;0;100;0;
160;100;100;0;100;0;
161;100;100;0;100;0;
162;100;100;0;100;0;
163;100;100;0;100;0;
164;100;100;0;100;0;
165;100;100;0;100;0;
166;100;100;0;100;0;
167;100;100;0;100;0;
168;100;100;0;100;0;
169;100;100;0;100;0;
170;100;100;0;100;0;
171;100;100;0;100;0;
172;100;100;0;100;0;
173;100;100;0;100;0;
174;100;100;0;100;0;
175;100;100;0;100;0;
176;100;100;0;100;0;
177;100;100;0;100;0;
178;100;100;0;100;0;
179;100;100;0;100;0;
180;100;100;0;100;0;
181;100;100;0;100;0;
182;100;100;0;100;0;
183;100;100;0;100;0;
184;100;100;0;100;0;
185;100;100;0;100;0;
186;100;100;0;100;0;
187;100;100;0;100;0;
188;100;100;0;100;0;
189;100;100;0;100;0;
190;100;100;0;100;0;
191;100;100;0;100;0;
192;100;100;0;100;0;
193;100;100;0;100;0;
194;100;100;0;100;0;
195;100;100;0;100;0;
196;100;100;0;100;0;
197;100;100;0;100;0;
198;100;100;0;100;0;
199;100;100;0;100;0;
200;100;100;0;100;0;
201;100;100;0;100;0;
202;100;100;0;100;0;
203;100;100;0;100;0;
204;100;100;0;100;0;
205;100;100;0;100;0;
206;100;100;0;100;0;
207;100;100;0;100;0;
208;100;100;0;100;0;
209;100;100;0;100;0;
210;100;100;0;100;0;
211;100;100;0;100;0;
212;100;100;0;100;0;
213;100;100;0;100;0;
214;100;100;0;100;0;
215;100;100;0;100;0;
216;100;100;0;100;0;
217;100;100;0;100;0;
218;100;100;0;100;0;
219;100;100;0;100;0;
220;100;100;0;100;0;
221;100;100;0;100;0;
222;100;100;0;100;0;
223;100;100;0;100;0;
224;100;100;0;100;0;
225;100;100;0;100;0;
226;100;100;0;100;0;
227;100;100;0;100;0;
228;100;100;0;100;0;
229;100;100;0;100;0;
230;100;100;0;100;0;
231;100;100;0;100;0;
232;100;100;0;100;0;
233;100;100;0;100;0;
234;100;100;0;100;0;
235;100;100;0;100;0;
236;100;100;0;100;0;
237;100;100;0;100;0;
238;100;100;0;100;0;
239;100;100;0;100;0;
240;100;100;0;100;0;
241;100;100;0;100;0;
242;100;100;0;100;0;
243;100;100;0;100;0;
244;100;100;0;100;0;
245;100;100;0;100;0;
246;100;100;0;100;0;
247;100;100;0;100;0;
248;100;100;0;100;0;
249;100;100;0;100;0;
250;100;100;0;100;0;
251;100;100;0;100;0;
252;100;100;0;100;0;
253;100;100;0;100;0;
254;100;100;0;100;0;
255;100;100;0;100;0;
256;100;100;0;100;0;
257;100;100;0;100;0;
258;100;100;0;100;0;
259;100;100;0;100;0;
260;100;100;0;100;0;
261;100;100;0;100;0;
262;100;100;0;100;0;
263;100;100;0;100;0;
264;100;100;0;100;0;
265;100;100;0;100;0;
266;100;100;0;100;0;
267;100;100;0;100;0;
268;100;100;0;100;0;
269;100;100;0;100;0;
270;100;100;0;100;0;
271;100;100;0;100;0;
272;100;100;0;100;0;
273;100;100;0;100;0;
274;100;100;0;100;0;
275;100;100;0;100;0;
276;100;100;0;100;0;
277;100;100;0;100;0;
278;100;100;0;100;0;
279;100;100;0;100;0;
280;100;100;0;100;0;
281;100;100;0;100;0;
282;100;100;0;100;0;
283;100;100;0;100;0;
284;100;100;0;100;0;
285;100;100;0;100;0;
286;100;100;0;100;0;
287;100;100;0;100;0;
288;100;100;0;100;0;
289;100;100;0;100;0;
290;100;100;0;100;0;
291;100;100;0;100;0;
292;100;100;0;100;0;
293;100;100;0;100;0;
294;100;100;0;100;0;
295;100;100;0;100;0;
296;100;100;0;100;0;
297;100;100;0;100;0;
298;100;100;0;100;0;
299;100;100;0;100;0;
300;100;100;0;100;0;
301;100;100;0;100;0;
302;100;100;0;100;0;
303;100;100;0;100;0;
304;100;100;0;100;0;
305;100;100;0;100;0;
306;100;100;0;100;0;
307;100;100;0;100;0;
308;100;100;0;100;0;
309;100;100;0;100;0;
310;100;100;0;100;0;
311;100;100;0;100;0;
312;100;100;0;100;0;
313;100;100;0;100;0;
314;100;100;0;100;0;
315;100;100;0;100;0;
316;100;100;0;100;0;
317;100;100;0;100;0;
318;100;100;0;100;0;
319;100;100;0;100;0;
320;100;100;0;100;0;
321;100;100;0;100;0;
322;100;100;0;100;0;
323;100;100;0;100;0;
324;100;100;0;100;0;
325;100;100;0;100;0;
326;100;100;0;100;0;
327;100;100;0;100;0;
328;100;100;0;100;0;
329;100;100;0;100;0;
330;100;100;0;100;0;
331;100;100;0;100;0;
332;100;100;0;100;0;
333;100;100;0;100;0;
334;100;100;0;100;0;
335;100;100;0;100;0;
336;100;100;0;100;0;
337;100;100;0;100;0;
338;100;100;0;100;0;
339;100;100;0;100;0;
340;100;100;0;100;0;
341;100;100;0;100;0;
342;100;100;0;100;0;
343;100;100;0;100;0;
344;100;100;0;100;0;
345;100;100;0;100;0;
346;100;100;0;100;0;
347;100;100;0;100;0;
348;100;100;0;100;0;
349;100;100;0;100;0;
350;100;100;0;100;0;
351;100;100;0;100;0;
352;100;100;0;100;0;
353;100;100;0;100;0;
354;100;100;0;100;0;
355;100;100;0;100;0;
356;100;100;0;100;0;
357;100;100;0;100;0;
358;100;100;0;100;0;
359;100;100;0;100;0;
360;100;100;0;100;0;
361;100;100;0;100;0;
362;100;100;0;100;0;
363;100;100;0;100;0;
364;100;100;0;100;0;
365;100;100;0;100;0;
366;100;100;0;100;0;
367;100;100;0;100;0;
368;100;100;0;100;0;
369;100;100;0;100;0;
370;100;100;0;100;0;
371;100;100;0;100;0;
372;100;100;0;100;0;
373;100;100;0;100;0;
374;100;100;0;100;0;
375;100;100;0;100;0;
376;100;100;0;100;0;
377;100;100;0;100;0;
378;100;100;0;100;0;
379;100;100;0;100;0;
380;100;100;0;100;0;
381;100;100;0;100;0;
382;100;100;0;100;0;
383;100;100;0;100;0;
384;100;100;0;100;0;
385;100;100;0;100;0;
386;100;100;0;100;0;
387;100;100;0;100;0;
388;100;100;0;100;0;
389;100;100;0;100;0;
390;100;100;0;100;0;
391;100;100;0;100;0;
392;100;100;0;100;0;
393;100;100;0;100;0;
394;100;100;0;100;0;
395;100;100;0;100;0;
396;100;100;0;100;0;
397;100;100;0;100;0;
398;100;100;0;100;0;
399;100;100;0;100;0;
400;100;100;0;100;0;
401;100;100;0;100;0;
402;100;100;0;100;0;
403;100;100;0;100;0;
404;100;100;0;100;0;
405;100;100;0;100;0;
406;100;100;0;100;0;
407;100;100;0;100;0;
408;100;100;0;100;0;
409;100;100;0;100;0;
410;100;100;0;100;0;
411;100;100;0;100;0;
412;100;100;0;100;0;
413;100;100;0;100;0;
414;100;100;0;100;0;
415;100;100;0;100;0;
416;100;100;0;100;0;
417;100;100;0;100;0;
418;100;100;0;100;0;
419;100;100;0;100;0;
420;100;100;0;100;0;
421;100;100;0;100;0;
422;100;100;0;100;0;
423;100;100;0;100;0;
424;100;100;0;100;0;
425;100;100;0;100;0;
426;100;100;0;100;0;
427;100;100;0;100;0;
428;100;100;0;100;0;
429;100;100;0;100;0;
430;100;100;0;100;0;
431;100;100;0;100;0;
432;100;100;0;100;0;
433;100;100;0;100;0;
434;100;100;0;100;0;
435;100;100;0;100;0;
436;100;100;0;100;0;
437;100;100;0;100;0;
438;100;100;0;100;0;
439;100;100;0;100;0;
440;100;100;0;100;0;
441;100;100;0;100;0;
442;100;100;0;100;0;
443;100;100;0;100;0;
444;100;100;0;100;0;
445;100;100;0;100;0;
446;100;100;0;100;0;
447;100;100;0;100;0;
448;100;100;0;100;0;
449;100;100;0;100;0;
450;100;100;0;100;0;
451;100;100;0;100;0;
452;100;100;0;100;0;
453;100;100;0;100;0;
454;100;100;0;100;0;
455;100;100;0;100;0;
456;100;100;0;100;0;
457;100;100;0;100;0;
458;100;100;0;100;0;
459;100;100;0;100;0;
460;100;100;0;100;0;
461;100;100;0;100;0;
462;100;100;0;100;0;
463;100;100;0;100;0;
464;100;100;0;100;0;
465;100;100;0;100;0;
466;100;100;0;100;0;
467;100;100;0;100;0;
468;100;100;0;100;0;
469;100;100;0;100;0;
470;100;100;0;100;0;
471;100;100;0;100;0;
472;100;100;0;100;0;
473;100;100;0;100;0;
474;100;100;0;100;0;
475;100;100;0;100;0;
476;100;100;0;100;0;
477;100;100;0;100;0;
478;100;100;0;100;0;
479;100;100;0;100;0;
480;100;100;0;100;0;
481;100;100;0;100;0;
482;100;100;0;100;0;
483;100;100;0;100;0;
484;100;100;0;100;0;
485;100;100;0;100;0;
486;100;100;0;100;0;
487;100;100;0;100;0;
488;100;100;0;100;0;
489;100;100;0;100;0;
490;100;100;0;100;0;
491;100;100;0;100;0;
492;100;100;0;100;0;
493;100;100;0;100;0;
494;100;100;0;100;0;
495;100;100;0;100;0;
496;100;100;0;100;0;
497;100;100;0;100;0;
498;100;100;0;100;0;
499;100;100;0;100;0;
500;100;100;0;100;0;
501;100;100;0;100;0;
502;100;100;0;100;0;
503;100;100;0;100;0;
504;100;100;0;100;0;
505;100;100;0;100;0;
506;100;100;0;100;0;
507;100;100;0;100;0;
508;100;100;0;100;0;
509;100;100;0;100;0;
510;100;100;0;100;0;
511;100;100;0;100;0;
512;100;100;0;100;0;
513;100;100;0;100;0;
514;100;100;0;100;0;
515;100;100;0;100;0;
516;100;100;0;100;0;
517;100;100;0;100;0;
518;100;100;0;100;0;
519;100;100;0;100;0;
520;100;100;0;100;0;
521;100;100;0;100;0;
522;100;100;0;100;0;
523;100;100;0;100;0;
524;100;100;0;100;0;
525;100;100;0;100;0;
526;100;100;0;100;0;
527;100;100;0;100;0;
528;100;100;0;100;0;
529;100;100;0;100;0;
530;100;100;0;100;0;
531;100;100;0;100;0;
532;100;100;0;100;0;
533;100;100;0;100;0;
534;100;100;0;100;0;
535;100;100;0;100;0;
536;100;100;0;100;0;
537;100;100;0;100;0;
538;100;100;0;100;0;
539;100;100;0;100;0;
540;100;100;0;100;0;
541;100;100;0;100;0;
542;100;100;0;100;0;
543;100;100;0;100;0;
544;100;100;0;100;0;
545;100;100;0;100;0;
546;100;100;0;100;0;
547;100;100;0;100;0;
548;100;100;0;100;0;
549;100;100;0;100;0;
550;100;100;0;100;0;
551;100;100;0;100;0;
552;100;100;0;100;0;
553;100;100;0;100;0;
554;100;100;0;100;0;
555;100;100;0;100;0;
556;100;100;0;100;0;
557;100;100;0;100;0;
558;100;100;0;100;0;
559;100;100;0;100;0;
560;100;100;0;100;0;
561;100;100;0;100;0;
562;100;100;0;100;0;
563;100;100;0;100;0;
564;100;100;0;100;0;
565;100;100;0;100;0;
566;100;100;0;100;0;
567;100;100;0;100;0;
568;100;100;0;100;0;
569;100;100;0;100;0;
570;100;100;0;100;0;
571;100;100;0;100;0;
572;100;100;0;100;0;
573;100;100;0;100;0;
574;100;100;0;100;0;
575;100;100;0;100;0;
576;100;100;0;100;0;
577;100;100;0;100;0;
578;100;100;0;100;0;
579;100;100;0;100;0;
580;100;100;0;100;0;
581;100;100;0;100;0;
582;100;100;0;100;0;
583;100;100;0;100;0;
584;100;100;0;100;0;
585;100;100;0;100;0;
586;100;100;0;100;0;
587;100;100;0;100;0;
588;100;100;0;100;0;
589;100;100;0;100;0;
590;100;100;0;100;0;
591;100;100;0;100;0;
592;100;100;0;100;0;
593;100;100;0;100;0;
594;100;100;0;100;0;
595;100;100;0;100;0;
596;100;100;0;100;0;
597;100;100;0;100;0;
598;100;100;0;100;0;
599;100;100;0;100;0;
600;100;100;0;100;0;
601;100;100;0;100;0;
602;100;100;0;100;0;
603;100;100;0;100;0;
604;100;100;0;100;0;
605;100;100;0;100;0;
606;100;100;0;100;0;
607;100;100;0;100;0;
608;100;100;0;100;0;
609;100;100;0;100;0;
610;100;100;0;100;0;
611;100;100;0;100;0;
612;100;100;0;100;0;
613;100;100;0;100;0;
614;100;100;0;100;0;
615;100;100;0;100;0;
616;100;100;0;100;0;
617;100;100;0;100;0;
618;100;100;0;100;0;
619;100;100;0;100;0;
620;100;100;0;100;0;
621;100;100;0;100;0;
622;100;100;0;100;0;
623;100;100;0;100;0;
624;100;100;0;100;0;
625;100;100;0;100;0;
626;100;100;0;100;0;
